Name,Arp,RA,Dec,Diam
,0033-253,8.9499,-25.3764,4.0
,0033-372,8.9588,-37.138,0.1
,0033-455,8.9559,-45.6714,0.2
,0033-312,9.0067,-31.2014,0.2
,0033-262,9.024,-26.1214,6.7
,0033-262,9.0365,-26.0781,0.4
,0034-592,9.0814,-59.1915,0.1
,0034-260,9.1615,-25.7732,0.2
,0034-334,9.2119,-33.5566,0.3
,0034-324,9.2587,-32.5316,0.4
,0034-351,9.2685,-34.9399,0.6
,0034-434,9.2866,-43.5399,0.2
,0035-515,9.3682,-51.68,0.1
,0035-335,9.4194,-33.7151,1.8
,0035-434,9.4236,-43.505,0.4
,0035-335,9.4402,-33.6667,0.3
,0035-340,9.5274,-33.7268,0.1
,0035-375,9.5269,-37.6801,0.3
,0035-431,9.524,-42.9218,0.2
,0035-555,9.5331,-55.7168,0.6
,0036-660,9.5939,-65.7935,0.9
,0036-391,9.6788,-38.9652,8.1
,0036-432,9.8141,-43.077,1.8
,0037-375,9.8757,-37.5604,1.0
,0037-374,9.8923,-37.5471,1.0
,0037-245,9.9484,-24.6038,0.5
,0037-305,10.0211,-30.5972,1.6
,0038-372,10.1626,-37.199,0.2
,0038-374,10.2286,-37.5307,1.0
,0038-374,10.2411,-37.5157,1.0
,0039-335,10.4163,-33.6209,0.2
,0039-815,10.1991,-81.5724,0.8
,0040-234,10.702,-23.5545,2.2
,0040-274,10.8099,-27.4929,0.4
,0041-390,10.8537,-38.7562,1.3
,0041-364,10.8694,-36.4596,0.2
,0041-502,10.85,-50.1846,1.8
,0041-243,11.0545,-24.3498,0.4
,0041-393,11.0354,-39.3564,0.3
,0041-383,11.0412,-38.2947,0.2
,0042-563,11.2522,-56.3799,0.3
,0043-373,11.358,-37.3684,0.4
,0043-312,11.462,-31.2018,1.3
,0043-385,11.5843,-38.6852,1.1
,0043-474,11.5769,-47.4286,0.4
,0044-511,11.6724,-51.007,1.1
,0044-353,11.7555,-35.2737,0.1
,0044-225,11.78,-22.5938,1.3
,0044-243,11.7821,-24.3721,0.9
,0044-521,11.7692,-52.0521,0.5
,0045-314,11.8647,-31.4255,1.8
,0045-521,11.9435,-51.9273,0.2
,0045-400,12.0558,-39.7424,0.4
,0046-572,12.0606,-57.1207,0.4
,0046-413,12.19,-41.2925,0.3
,0046-372,12.2259,-37.2209,0.4
,0047-494,12.3224,-49.4793,1.4
,0047-553,12.3352,-55.3693,2.7
,0047-473,12.4889,-47.3895,0.6
,0047-304,12.5765,-30.4879,0.4
,0048-230,12.6778,-22.8863,0.3
,0048-270,12.677,-26.798,1.7
,0048-313,12.6749,-31.3847,3.1
,0048-390,12.7547,-38.7598,0.9
,0048-502,12.7763,-50.2148,0.4
,0048-381,12.8184,-37.9165,1.1
,0049-273,13.067,-27.3501,1.3
,0049-351,13.0806,-35.0401,0.6
,0049-412,13.0742,-41.0634,0.7
,0050-312,13.1779,-31.2052,9.0
,0050-370,13.2023,-36.7769,1.6
,0050-222,13.2277,-22.1119,0.2
,0050-365,13.302,-36.7103,0.2
,0051-473,13.3677,-47.3754,0.6
,0051-272,13.4912,-27.1456,0.9
,0051-234,13.5876,-23.549,2.5
