Arp,RA,Dec,Score,Notes
324,240.5525,15.9067,2,
328,221.9825,19.0567,2,
0015-340,4.5186,-33.8756,2,
0016-231,4.769,-22.9357,2,
0036-391,9.6788,-38.9652,2,Same as previous.
0036-391,9.683,-38.9519,2,Same as previous.
0054-310,14.2254,-30.8714,2,"Ring, but distant."
0132-294,23.5782,-29.4226,2,
0132-414,23.7755,-41.4396,2,
0158-343,30.0708,-34.32,2,
0200-583,30.4452,-58.3777,2,
0203-841,30.058,-83.9865,2,
0203-552,31.2671,-55.1097,2,
0306-231,47.0708,-22.9827,2,Nice disturbed spiral way to the bottom left...
0332-324,53.7385,-32.6343,2,
0333-324,53.8343,-32.6014,2,
0334-452,53.9847,-45.1904,2,
0349-714,57.4222,-71.6318,2,
0357-343,59.7717,-34.3971,2,
0358-465,59.988,-46.7916,2,
0358-275,60.1924,-27.7972,2,
0359-525,60.2299,-52.8294,2,
0425-421,66.6595,-42.1037,2,
0425-421,66.6719,-42.1121,2,
0425-491,66.7698,-49.121,2,
0426-475,67.0739,-47.8324,2,Crazy galaxy to lower right (maybe was previous image?)
0437-365,69.8987,-36.8499,2,
0530-293,83.1625,-29.6273,2,
0532-305,83.6291,-30.8979,2,
0545-820,85.0238,-81.9857,2,(same as previous?)
0545-820,85.0596,-81.9926,2,(same as previous?)
0546-820,85.237,-82.1285,2,
0904-274,136.6137,-28.0248,2,
0944-332,146.6971,-33.602,2,
1017-253,154.9249,-25.8166,2,Another triangular galaxy...
1035-250,159.3688,-25.3267,2,
1039-313,160.3529,-31.8034,2,upper galaxy half on frame might be interesting...
1040-360,160.7641,-36.3624,2,Intense small starburst
1048-232,162.7415,-23.6621,2,
1138-441,175.2374,-44.4857,2,
1308-274,197.7932,-28.0123,2,
1358-225,210.3916,-23.1394,2,
1408-231,212.7174,-23.4319,2,
1410-271,213.2354,-27.4272,2,
1410-283,213.2441,-28.7705,2,
1850-684,284.0112,-68.6807,2,
1910-622,288.6911,-62.2734,2,
1931-525,293.7623,-52.8416,2,
2000-574,301.136,-57.5998,2,
2000-574,301.1954,-57.6846,2,
2019-300,305.5593,-29.8546,2,
2022-334,306.4155,-33.5462,2,LSB partner of previous image
2022-334,306.4571,-33.5461,2,LSB partner of previous image
2024-515,307.0289,-51.6941,2,
2024-355,307.0358,-35.8138,2,
2028-535,308.0177,-53.742,2,
2054-520,314.4718,-51.8748,2,
2136-492,324.858,-49.1618,2,Double ring?
2145-814,328.1122,-81.5324,2,
2200-715,331.2514,-71.7021,2,ring but distant
2205-574,332.1442,-57.4398,2,
2207-225,332.6451,-22.6551,2,
2217-490,335.2099,-48.773,2,
2217-490,335.2223,-48.7796,2,
2219-600,335.6462,-59.7721,2,
2233-261,338.9448,-26.0491,2,
2246-581,342.3293,-57.9369,2,ring but distant
2249-403,343.1485,-40.3273,2,
2300-465,345.7448,-46.7055,2,
2301-290,345.9539,-28.7436,2,
2302-502,346.3136,-50.1098,2,
2315-423,349.6008,-42.3747,2,
2322-580,351.3354,-57.7883,2,
2353-605,359.0394,-60.6766,2,
