Arp,RA,Dec,Score,Notes
37,40.67,0.0133,2,
42,225.675,23.3317,2,
45,214.9625,51.905,2,
46,353.4225,30.0433,2,
47,221.8025,18.8583,2,
48,19.985,12.345,2,
53,158.8225,-17.275,2,
54,36.0075,-4.6933,2,
56,29.3575,17.2167,2,
66,246.72,51.555,2,
74,32.09,41.48,2,
80,132.0275,74.1,2,
92,349.735,0.2433,2,
98,23.07,32.09,2,
103,252.3575,45.4583,2,
109,237.0325,69.4583,2,would need to adjust coords to get tidal tail on one to right
124,259.67,60.6067,2,
131,41.825,-14.8017,2,
132,169.8375,-3.09,2,need to revise coordinate
137,143.5125,10.1083,2,Look at galaxy in upper right of large field?
149,189.9275,16.5917,2,cool but kindof far.  tweak coords.
151,171.4,54.3817,2,distant
161,175.5525,0.3333,2,distant but cool plume
162,162.8175,27.975,2,
177,223.9525,24.5983,2,distant
183,203.73,31.3917,2,
191,166.835,18.4317,2,far but pretty cool
201,5.89,-0.49,2,"distant, not sure interesting enough...Check original source. Need coord tweak."
207,142.7775,76.465,2,
211,189.33,38.725,2,a bit small but unusual
218,238.385,18.6033,2,distant  
228,27.2225,10.5217,2,"fairly ordinary small group, cant get most of it on frame"
234,173.9525,54.525,2,
237,141.9325,12.2867,2,distant but cool plumes
246,1.725,8.35,2,
247,125.885,21.3383,2,
250,114.0,35.375,2,very distant
272,241.3775,17.7683,2,part of cluster or rich group. Tweak to right for occultors?
304,47.8125,-8.9217,2,
307,141.4275,11.4317,2,
308,21.4975,-1.34,2,
310,261.855,58.5167,2,
312,252.4525,46.7183,2,
315,139.945,33.75,2,
325,331.6,-21.0783,2,
327,80.4425,6.6883,2,
329,173.03,70.815,2,
338,152.7475,-7.915,2,distant
0011-232,3.5215,-23.1787,2,
0012-603,3.6784,-60.332,2,
0012-242,3.7332,-24.0904,2,
0013-562,4.0014,-56.0804,2,
0020-535,5.6097,-53.6427,2,
0034-283,9.2089,-28.3699,2,
0034-465,9.2778,-46.6449,2,
0035-464,9.5143,-46.5184,2,
0040-234,10.702,-23.5545,2,
0047-553,12.3352,-55.3693,2,
0051-234,13.5876,-23.549,2,
0100-820,15.3469,-81.8113,2,Very LSB dwarf...
0102-391,16.2616,-39.0356,2,
0102-391,16.3032,-38.9673,2,
0103-303,16.5239,-30.3976,2,
0106-803,16.7539,-80.3065,2,
0111-325,18.5304,-32.6522,2,
0111-323,18.5686,-32.2556,2,probably too extended to get all interactions on frame...
0112-581,18.509,-57.9355,2,
0117-442,20.0447,-44.1313,2,tweak coords...
0124-225,21.7893,-22.7209,2,recenter to get interaction partner and tail?
0124-355,21.7714,-35.6126,2,recenter to get more of group. Not sure if background cluster?
0125-583,21.7781,-58.3543,2,
0128-225,22.617,-22.6691,2,
0128-413,22.6098,-41.2974,2,
0131-392,23.4927,-39.0957,2,Small but that's weird...
0131-344,23.515,-34.4458,2,can interaction partner get on frame?
0152-565,28.5263,-56.6848,2,
0206-402,32.1785,-40.132,2,"Off center spiral, weird interaction partner upper left on large image -- get both?"
0206-401,32.2202,-40.0937,2,weird partner of previous
0227-545,37.3972,-54.7565,2,
0228-431,37.6114,-43.032,2,
0237-611,39.6409,-60.9784,2,possible nebulosity? not sure if worth it...
0242-590,41.0549,-58.8194,2,
0258-743,44.525,-74.4582,2,
0316-260,49.6337,-25.837,2,"slight chance it might resolve, but probably not."
0321-424,50.7548,-42.603,2,
0323-420,51.25,-41.8932,2,not interesting but would be pretty..
0324-524,51.4311,-52.554,2,
0332-305,53.5699,-30.732,2,
0337-312,54.8479,-31.3187,2,
0337-390,54.8314,-38.982,2,
0346-801,55.9353,-80.1054,2,
0359-674,59.8822,-67.6451,2,
0401-641,60.4282,-64.0972,2,
0407-215,62.3836,-21.7714,2,
0408-561,62.4724,-56.119,2,
0410-291,63.1151,-29.058,2,distant but good tails
0410-291,63.1649,-29.0682,2,distant but good tails
0413-590,63.6129,-58.9657,2,
0413-404,63.8966,-40.6615,2,Uninteresting but pretty triplet
0417-625,64.4096,-62.7877,2,
0420-434,65.5281,-43.6304,2,good plume and possible shelf structure above?
0422-275,66.094,-27.7677,2,
0439-525,70.1833,-52.7516,2,
0453-532,73.5646,-53.3605,2,off center starburst. slight chance its resolved.
0456-275,74.6529,-27.8401,2,weird adjacent blue tadpole. Fairly distant.
0506-594,76.7384,-59.7257,2,
0509-290,77.8439,-28.9919,2,double nucleus? distant though.
0513-412,78.754,-41.3914,2,
0519-370,80.2674,-36.9602,2,
0539-225,85.5105,-22.9486,2,adjust coords to get possible companion towards top?
0553-394,88.7047,-39.7677,2,distant but cool. adjust coord to get companion to bottom of image.
0600-395,90.5407,-39.9466,2,is that a faint blue LSB disk around a bulge? Inspect other source material...otherwise dull.
0610-443,92.9159,-44.6499,2,adjust coord to get thin S-spiral on frame?
0634-350,99.1893,-35.0717,2,possible ring galaxy?
0639-582,100.1766,-58.5187,2,pretty but probably not interesting...
0654-365,103.9917,-36.9379,2,
0736-692,114.091,-69.5254,2,sadly too big.  Could do two pointings in the same galaxy...
0754-521,118.9673,-52.3042,2,possible shell/shelf galaxy
0858-335,135.0783,-34.0763,2,LSB but likely too low latitude...
0906-753,136.6069,-75.8109,2,possible occultor. Recenter to get faint companion in lower left?
0923-335,141.3268,-34.1033,2,low latitude but pretty weird.
0936-305,144.7391,-31.1299,2,
0943-300,146.3751,-30.3444,2,recenter to get possible interacting companion above on left?
0952-325,148.5957,-33.112,2,"Pretty but a bit too big, can't get companion and weird arms..."
0952-325,148.7878,-33.1374,2,"Pretty but a bit too big, can't get companion and weird arms..."
0957-311,150.0132,-31.5538,2,
1001-264,150.9255,-27.026,2,
1002-411,151.1006,-41.4148,2,
1005-345,151.977,-35.2285,2,
1010-342,153.153,-34.7295,2,
1026-312,157.2238,-31.6112,2,
1027-435,157.3065,-44.1281,2,"adjust coords. possible flyby to left, companion to bottom"
1029-455,157.7966,-46.254,2,possible dust lane elliptical
1029-294,157.8589,-29.9524,2,
1038-360,160.0825,-36.4097,2,
1039-230,160.3581,-23.3817,2,
1044-241,161.8299,-24.4358,2,
1045-245,162.0958,-25.1628,2,
1105-461,166.9608,-46.5226,2,
1105-412,167.0381,-41.7294,2,distant but possibly nifty.
1106-280,167.2443,-28.3712,2,
1111-474,168.3686,-48.0441,2,"Probably a planetary nebula, actually."
1111-474,168.4735,-47.9492,2,"Probably a planetary nebula, actually."
1124-340,171.6914,-34.3653,2,Another likely planetary nebula (ESO 378-PN 001). Lovely though... Could leave it in if 5007 falls in our bandpass
1134-323,174.2844,-32.8286,2,
1150-322,178.3303,-32.6533,2,
1204-280,181.6775,-28.3317,2,
1204-395,181.7883,-40.2084,2,
1208-334,182.6608,-34.0582,2,possible extended LSB disk w/ SF?
1213-374,184.0548,-38.0929,2,recenter towards right.
1238-404,190.2236,-40.976,2,
1245-255,191.918,-26.1994,2,Could maybe get whole triplet on? Not that interesting though...
1245-215,191.9927,-22.2677,2,
1247-245,192.422,-25.1589,2,
