Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0445-572,4,,,ESO 158- G 003,0.028,G,975,,1.6,(R')SB(rs)m,SB(s)m pec,,,,,,,,,,,< 4.704E-02,,< 4.70E-28,3.124E-01,10%,3.12E-27,3.12E-28,,,,,,,,,,97.72,25,21,71.5738,-57.3431
Arp-Madore0447-595,3,Nicmos plus 1 filter WFPC2. Not all that disturbed. Could cut.,,NGC 1688,0.095,G,1228,,2.4,SB(rs)dm,SB(rs)d,,,,,,9.682,0.055,8.94E-28,4.64E-29,2.723E-01,7%,2.72E-27,8.51E-29,2.683E+00,5%,2.68E-26,1.34E-27,,,,,,,,,112.00,147.91,84,191,72.089,-59.7956
Arp-Madore0448-320,3,"Limited WPFC2. NGC 1679, Vr=1052 km/s, https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwjdq_GzqdHYAhUL3mMKHZizCHQQjBwIBA&url=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F5%2F5f%2FNGC1679-hst-R814GB300.jpg%2F600px-NGC1679-hst-R814GB300.jpg&psig=AOvVaw2GBByFBmQPX_l1CsmvZckJ&ust=1515808630350189",,NGC 1679,0.060,G,1052,,2.7,SB(s)m,SB(s)m,,,,,,9.882,0.035,7.43E-28,2.44E-29,1.653E-01,13%,1.65E-27,9.46E-29,2.547E+00,9%,2.55E-26,2.29E-27,,,,,,,,,103.20,181.97,58,192,72.4749,-31.9617
Arp-Madore0453-372,3,a bit distant. Could cut.,,ESO 361- G 019,0.033,G,2324,,1.8,SBa? pec,SBa? pec,,,,,,,,,,1.276E-01,22%,1.28E-27,3.01E-28,6.103E-01,8%,6.10E-27,4.88E-28,3.6,0.5,3.60E-29,5.00E-30,,,,,,98.86,35,193,73.7159,-37.3226
Arp-Madore0454-561,3,,,ESO 158- G 015,0.035,G,1777,,1.3,Pec,pec,,,,,,,,,,,< 4.611E-02,,< 4.61E-28,2.709E-01,12%,2.71E-27,3.25E-28,,,,,,,,,,,21,194,73.9274,-56.2407
Arp-Madore0456-224,3,,,ESO 485- G 029,0.097,G,,,1.1:,S(r)...,S(r)c,,,,,,12.905,0.149,4.59E-29,6.75E-30,,,,,,,,,,,,,,,,,15.80,19.05,5,195,74.72,-22.6737
Arp-Madore0459-340,4,,,ESO 361-IG 025,0.056,G,5269,,1.4,S pec,S pec,,,,,,11.933,0.087,1.12E-28,9.38E-30,4.047E-01,5%,4.05E-27,6.00E-29,2.447E+00,4%,2.45E-26,9.79E-28,16.8,1.1,1.68E-28,1.10E-29,,,,,23.80,75.86,29,22,75.4211,-34.0321
Arp-Madore0503-380,3,Nice but not that disturbed. Could cut.,,NGC 1792,0.062,G,1211,,5.2,SA(rs)bc       HII,SA(rs)bc,,,,,,,,,,2.023E+00,5%,2.02E-26,7.69E-28,2.577E+01,4%,2.58E-25,1.03E-26,306.9,9.8,3.07E-27,9.80E-29,,,,,,327.34,217,196,76.3169,-37.9714
Arp-Madore0507-222,3,,,ESO 553- G 015,0.081,G,9749,,1.2,Sab,S?,,,,,,12.101,0.111,9.63E-29,1.04E-29,,< 7.731E-02,,< 7.73E-28,1.566E-01,27%,1.57E-27,4.23E-28,,,,,,,,,23.20,64.57,14,197,77.4832,-22.2967
Arp-Madore0507-630,3,,,ESO 085- G 047,0.071,G,1445,,1.7,SB(s)m,SB(s)m,,16.0152,0.0381417,1.43E-29,5.01E-31,,,,,,< 4.828E-02,,< 4.83E-28,2.240E-01,13%,2.24E-27,2.91E-28,,,,,,,,,,74.99,32,198,76.9328,-62.9901
Arp-Madore0510-260,3,Disturbed but not crazy. Could cut.,,ESO 486- G 034,0.073,G,10819,,1.3,Sb,Sb,,,,,,10.796,0.078,3.20E-28,2.39E-29,,< 5.998E-02,,< 6.00E-28,3.299E-01,10%,3.30E-27,3.30E-28,,,,,,,,,45.40,62.37,12,199,78.0865,-26.053
Arp-Madore0510-330,3,"UGCA 106, Vr=929 km/s, S4G. GALEX. Not intrinsically disturbed but good SF... Could cut.",,UGCA 106,0.060,G,929,,3.5,SAB(s)m,SAB(s)m,,,,,,,,,,,< 5.890E-02,,< 5.89E-28,3.176E-01,10%,3.18E-27,3.18E-28,,,,,,,,,,179.89,57,200,77.993,-32.9776
Arp-Madore0515-540,3,,,ESO 159- G 003,0.061,G,3994,,2.1,SB0^0^: pec,SB0^0? pec,,,,,,10.421,0.042,4.52E-28,1.78E-29,,,,,,,,,,,,,,,,,54.20,79.43,26,1,79.0251,-54.108
Arp-Madore0517-321,3,Not drastically disturbed. Could cut.,,NGC 1879,0.064,G,1240,,2.5,SB(s)m,SB(s)m,,,,,,,,,,,< 6.897E-02,,< 6.90E-28,3.775E-01,9%,3.78E-27,3.40E-28,3.0,0.6,3.00E-29,6.00E-30,,,,,,146.22,52,2,79.9516,-32.1436
Arp-Madore0519-611,3,Get both galaxies on...,,ESO 119-IG 054,0.096,G,4911,,1.3,(RL)SB(r)0^+,(R')SB0/a(r) pec,,18.8980,0.127535,1.00E-30,1.18E-31,10.419,0.066,4.53E-28,2.84E-29,,< 6.693E-02,,< 6.69E-28,3.169E-01,12%,3.17E-27,3.80E-28,,,,,,,,,61.80,78.52,20,3,80.0817,-61.2583
Arp-Madore0519-612,4,,,ESO 119-IG 055,0.097,G,4784,,1.8,SA(s)a: pec,SA(s)a? pec,,17.8572,0.0843252,2.61E-30,2.03E-31,9.970,0.037,6.85E-28,2.38E-29,,,,,,,,,,,,,,,,,41.60,90.16,14,23,80.0893,-61.295
Arp-Madore0520-390,3,,,ESO 305- G 021,0.075,G,15114,,1.02,SB:(r)ab: pec,S(r)c,,,,,,10.721,0.050,3.43E-28,1.62E-29,,,,,,,,,,,,,,,,,38.00,66.83,19,4,80.6633,-39.0688
Arp-Madore0526-393,3,,,ESO 306-IG 001,0.073,GPair,,,,(SB0?) + (Sa?),pair,,,,,,,,,,6.971E-02,24%,6.97E-28,1.68E-28,4.421E-01,8%,4.42E-27,3.54E-28,,,,,,,,,,,12,5,82.0084,-39.5769
Arp-Madore0537-292,3,,,ESO 424- G 005,0.085,G,3859,,1.5,Sb?,Sb?,,,,,,12.690,0.172,5.60E-29,9.61E-30,,< 4.035E-02,,< 4.03E-28,3.384E-01,11%,3.38E-27,3.72E-28,,,,,,,,,24.80,75.86,16,6,84.8386,-29.3738
Arp-Madore0541-294,4,,,ESO 424- G 010,0.072,GGroup,3842,,,S.../Irr,S with extended material / Irr,,,,,,,,,,,< 7.076E-02,,< 7.08E-28,5.742E-01,7%,5.74E-27,4.02E-28,4.2,0.6,4.20E-29,6.00E-30,,,,,,68.39,14,24,85.732,-29.7314
Arp-Madore0541-524,3,,,ESO 159- G 025,0.149,G,1100,,1.3,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,61.66,25,7,85.7717,-52.7088
Arp-Madore0545-453,4,,,ESO 253-IG 026,0.138,GPair,12441,,,Double system,pair,,,,,,,,,,1.104E-01,15%,1.10E-27,1.09E-28,9.847E-01,5%,9.85E-27,4.92E-28,,,,,,,,,,,9,25,86.7994,-45.4886
Arp-Madore0545-520,3,,,NGC 2101,0.151,G,1204,,1.9,IB(s)m pec,IB(s)m pec,,,,,,13.026,0.128,4.11E-29,5.14E-30,6.942E-02,27%,6.94E-28,2.19E-28,6.955E-01,7%,6.95E-27,4.87E-28,,,,,,,,,28.80,124.45,52,8,86.6003,-52.0894
Arp-Madore0547-330,4,,,ESO 363- G 031,0.097,G,10791,,0.6,(R_1?R'_2?)SA0/a,(R)SA0/a,,,,,,11.006,0.085,2.64E-28,2.15E-29,,,,,,,,,,,,,,,,,28.80,25.41,14,26,87.3762,-33.0628
Arp-Madore0547-474,3,Fairly distant Antennae analog...,,ESO 205-IG 003,0.186,GTrpl,15130,,,(Sa?)+(E)+(S0:),with extended material,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,87.1012,-47.7368
Arp-Madore0557-765,3,Disturbed but not crazy. Could cut.,,IC 2160,0.242,G,4739,,2.0,(R':)SB(rs)bc,(R')SB(s)c pec?,,,,,,10.247,0.054,5.31E-28,2.71E-29,1.385E-01,12%,1.38E-27,1.08E-28,7.326E-01,6%,7.33E-27,4.40E-28,,,,,,,,,54.60,123.03,43,10,88.8792,-76.9226
Arp-Madore0558-335,3,,,IC 2153,0.111,GPair,2868,,,Pec,pec,,,,,,,,,,3.567E-01,7%,3.57E-27,7.12E-29,1.974E+00,5%,1.97E-26,9.87E-28,12.1,0.6,1.21E-28,6.00E-30,,,,,,,23,11,90.0158,-33.9206
Arp-Madore0608-333,4,,,AM 0608-333,0.098,GPair,14900,,,INTERACTING,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,92.4888,-33.6443
Arp-Madore0612-373,3,A bit smooth. Maybe hints of dust?,,ESO 307-IG 025,0.228,G,9721,,4.3,Pec+comp (long tail),with extended material,,,,,,10.303,0.037,5.04E-28,1.75E-29,,,,,,,,,,,,,,,,,49.80,66.07,23,12,93.4468,-37.6757
Arp-Madore0620-363,3,,,ESO 365- G 010,0.198,G,9310,,1.9,SA(s)b: pec,SA(s)b? pec,,,,,,10.898,0.048,2.92E-28,1.32E-29,,,,,,,,,,,,,,,,,36.60,102.33,18,13,95.4893,-36.5556
Arp-Madore0630-522,3,,,ESO 206- G 016,0.178,G,1191,,1.3,IAB(s)m,IAB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,28.51,16,14,97.7863,-52.4237
Arp-Madore0642-801,3,"possibly a bit distant, but nice and messy.",,AM 0642-801,0.823,GPair,4777,,,(SA0?) + (SBd:),RING,,,,,,,,,,6.982E-02,18%,6.98E-28,1.26E-28,5.859E-01,7%,5.86E-27,4.10E-28,,,,,,,,,,,9,15,99.6873,-80.2475
Arp-Madore0643-462,4,,,ESO 255- G 018,0.223,G,12015,,1.2,S pec (Ring:),RING,,,,,,11.398,0.074,1.84E-28,1.30E-29,,,,,,,,,,,,,,,,,30.60,74.13,13,28,101.2617,-46.4485
Arp-Madore0658-590,3,,,ESO 122-IG 011,0.259,GPair,8262,,,(Sa?) + (Sa? pec),pair,,,,,,,,,,2.587E-01,9%,2.59E-27,1.16E-28,3.594E+00,5%,3.59E-26,1.80E-27,,,,,,,,,,60.95,13,16,104.7698,-59.1289
Arp-Madore0728-664,3,,,ESO 088- G 017,0.359,G,5197,,1.8,SAB(rs)bc,SAB(r)bc pec?,,,,,,9.362,0.027,1.20E-27,3.02E-29,2.503E-01,6%,2.50E-27,1.29E-28,2.352E+00,3%,2.35E-26,7.06E-28,,,,,,,,,84.00,113.50,32,17,112.2461,-66.8987
Arp-Madore0839-745,3,"ESO 036- G 006, Vr=1143., HI. In nearby galaxy catalog.",,ESO 036- G 006,0.356,G,1143,,3.2,SAB(rs)m,IAB(rs)m,,,,,,,,,,,,,,,,,,,,,,,,,,,130.32,22,18,129.6712,-75.1547
Arp-Madore0855-674,3,low latitude. Cut if needed.,,ESO 060- G 018,0.234,G,7116,,2.0,SB(s)bc pec,(R')SB(s)b,,,,,,9.901,0.071,7.30E-28,4.94E-29,,,,,,,,,,,,,,,,,77.00,107.15,14,19,134.0963,-67.8735
Arp-Madore0857-685,3,low latitude. Cut if needed.,,ESO 060- G 019,0.276,G,1443,,3.2,SB(s)d,SB(s)d,,,,,,10.248,0.076,5.31E-28,3.85E-29,5.809E-01,4%,5.81E-27,6.54E-29,2.626E+00,4%,2.63E-26,1.05E-27,,,,,,,,,70.80,216.27,44,20,134.3767,-69.0612
Arp-Madore0942-313,3,Companion is more interesting...,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,146.14,-31.7905
Arp-Madore0942-313,3,Companion is more interesting...,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,146.14,-31.7905
Arp-Madore0942-313,4,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,146.19,-31.8273
Arp-Madore0942-313,4,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,146.19,-31.8273
Arp-Madore0949-264,4,,,NGC 3037,0.250,G,887,,1.2,IBm            HII,IB(s)m,,,,,,11.123,0.097,2.37E-28,2.22E-29,,,,,,,,,3.9,0.6,3.90E-29,6.00E-30,,,,,59.40,82.22,34,30,147.8524,-27.0167
Arp-Madore0956-282,4,,,ESO 435- G 016,0.269,G,980,,1.7,I0? pec        HII,I0? pec,,,,,,10.170,0.071,5.70E-28,3.85E-29,,,,,,,,,6.9,1.3,6.90E-29,1.30E-29,,,,,57.40,123.03,43,31,149.6845,-28.623
Arp-Madore1010-445,3,,,AM 1010-445,0.507,GPair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,153.134,-45.2362
Arp-Madore1021-282,3,pretty small though.  Could cut if needed.,,ESO 436-IG 015,0.161,GPair,8026,,,Double system,pair,,,,,,,,,,8.940E-01,7%,8.94E-27,1.09E-28,4.663E+00,6%,4.66E-26,2.80E-27,35.4,1.5,3.54E-28,1.50E-29,,,,,,,21,23,156.0658,-28.7306
Arp-Madore1023-292,3,,,ESO 436- G 019,0.159,G,9175,,1.2:,Sa:,Sa?,,,,,,11.444,0.059,1.76E-28,9.85E-30,,,,,,,,,,,,,,,,,27.60,68.39,15,24,156.4478,-29.6013
Arp-Madore1025-433,4,"NGC 3256, Vr=2804; https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0ahUKEwj_3-HgrNHYAhUCHGMKHUXBCN8QjBwIBA&url=http%3A%2F%2Fcdn.spacetelescope.org%2Farchives%2Fimages%2Fscreen%2Fheic0810ar.jpg&psig=AOvVaw2801C0wRIgwo0RphEbg_xH&ust=1515809545493342",,NGC 3256,0.334,G,2804,,3.8,Pec;merger;HII Sbrst,pec,H_alpha Emission-Line Galaxy,,,,,8.101,0.017,3.83E-27,6.05E-29,1.603E+01,6%,1.60E-25,1.94E-27,8.830E+01,6%,8.83E-25,5.30E-26,,,,,,,,,110.60,190.55,416,32,156.9684,-43.9057
Arp-Madore1029-343,3,"NGC3281; WFPC2 obs, no image on-line . Not highly disturbed. Could cut.",,NGC 3281,0.263,G,3200,,3.3,SAB(rs+)a      Sy2,SA(s)ab pec?,Sy 2,,,,,8.309,0.025,3.17E-27,7.37E-29,2.633E+00,7%,2.63E-26,6.23E-28,6.861E+00,7%,6.86E-26,4.80E-27,80.9,2.9,8.09E-28,2.90E-29,,,,,164.00,184.08,263,25,157.9673,-34.8543
Arp-Madore1032-315,3,,,ESO 436- G 040,0.246,G,4431,,1.3,(R')SB(rs)ab:  HII,(R')SB(rs)ab? pec,,18.0685,0.0618938,2.15E-30,1.23E-31,10.824,0.077,3.12E-28,2.29E-29,1.001E-01,34%,1.00E-27,4.28E-28,8.435E-01,8%,8.43E-27,6.75E-28,2.7,0.6,2.70E-29,6.00E-30,,,,,39.00,77.62,23,26,158.5845,-32.187
Arp-Madore1033-365,3,"ESO 375- G 071, Vr=956; HI, nearby galaxy catlog. Low latitude though.",,ESO 375- G 071,0.233,G,956,,3.0,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,146.22,21,27,159.0435,-37.2362
Arp-Madore1034-271,3,NGC 3312; None of the HST obs seem usable.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,159.2596,-27.5682
Arp-Madore1036-272,3,,,ESO 501- G 065,0.177,G,4425,,1.5,SB(s)d: pec    HII,SB(s)d? pec,H_alpha Emission-Line Galaxy,,,,,11.284,0.082,2.04E-28,1.60E-29,1.604E-01,17%,1.60E-27,2.39E-28,1.280E+00,6%,1.28E-26,7.68E-28,25.1,1.6,2.51E-28,1.60E-29,,,,,46.60,82.22,44,29,159.6393,-27.7372
Arp-Madore1054-325,3,ESO 376-IG 027 (on right); Check HLA...only WFPC2,,AM 1054-325,0.261,GPair,,,,,S,,,,,,,,,,,< 1.684E-01,,< 1.68E-27,6.401E-01,11%,6.40E-27,7.04E-28,,,,,,,,,,,8,30,164.2698,-33.1576
Arp-Madore1055-391,3,"ESO 318- G 024, Vr=1000",,ESO 318- G 024,0.284,G,1000,,2.3,SB(s)m pec,SB(s)m pec,,,,,,,,,,,,,,,,,,,,,,,,,,,108.39,20,31,164.466,-39.4379
Arp-Madore1116-290,3,not the most highly disturbed. Could cut if needed.,,ESO 438- G 020,0.194,G,9117,,1.0,S?;LINER       HII,S?,,17.5648,0.0599939,3.42E-30,1.89E-31,10.715,0.059,3.45E-28,1.93E-29,,,,,,,,,14.4,1.0,1.44E-28,1.00E-29,,,,,34.40,65.31,36,32,169.7245,-29.4204
Arp-Madore1122-262,3,Not all that highly disturbed. Could be cut if needed.,,NGC 3673,0.154,G,1938,,3.6,SB(r)b         HII,SB(rs)b,,,,,,8.547,0.033,2.54E-27,7.84E-29,1.533E-01,24%,1.53E-27,3.09E-28,1.528E+00,9%,1.53E-26,1.37E-27,4.1,0.6,4.10E-29,6.00E-30,,,,,,206.54,89,33,171.3063,-26.74
Arp-Madore1124-272,4,,,ESO 503- G 017,0.171,G,10465,,1.3,S0:            LINER,Sc,,,,,,12.200,0.082,8.79E-29,6.90E-30,,,,,,,,,,,,,,,,,19.00,41.69,16,33,171.7189,-27.7053
Arp-Madore1125-285,3,1 WFPC2 606W. Check HLA/depth/coverage.,,ESO 439- G 010,0.179,G,7294,,1.2,Pec,pec edge-on,,,,,,11.262,0.089,2.09E-28,1.78E-29,,< 1.031E-01,,< 1.03E-27,2.742E-01,15%,2.74E-27,4.11E-28,,,,,,,,,44.40,67.61,23,34,171.8805,-29.1771
Arp-Madore1133-374,3,NGC 3749; Vr=2731 Inspect actual coverage in HLA...,,AM 1133-374,0.349,GPair,2731,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,173.9709,-38.0001
Arp-Madore1157-242,3,Could cut. ,,UGCA 261,0.177,G,1707,,1.7,IAB(s)m:,IAB(s)m?,,,,,,,,,,,< 8.606E-02,,< 8.61E-28,2.178E-01,22%,2.18E-27,4.79E-28,,,,,,,,,,80.35,27,36,180.1319,-24.7218
Arp-Madore1158-345,4,,,AM 1158-345,0.233,GPair,,,,INTERACTING,S + S,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,180.2487,-35.1951
Arp-Madore1200-251,3,"ESO 505- G 007, Vr=1776; Coud be too LSB. Is that a star or a nucleus?",,ESO 505- G 007,0.225,G,1776,,2.4,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,28.51,25,37,180.8711,-25.4684
Arp-Madore1203-223,3,Could cut. ,,UGCA 270,0.139,G,1723,,2.9,SB(s)m pec:,SB(s)m pec?,,,,,,,,,,,< 1.239E-01,,< 1.24E-27,4.828E-01,20%,4.83E-27,9.66E-28,,,,,,,,,,184.08,40,38,181.5306,-22.85
Arp-Madore1203-275,3,cut if needed.,,AM 1203-275,0.197,GTrpl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,181.6065,-28.1734
Arp-Madore1207-292,3,,,IC 0764,0.165,G,2132,,4.8,SA(s)c?        HII,SA(s)c?,,,,,,,,,,,< 1.526E-01,,< 1.53E-27,5.675E-01,9%,5.67E-27,5.11E-28,3.2,0.6,3.20E-29,6.00E-30,,,,,,239.88,83,40,182.5593,-29.7399
Arp-Madore1212-375,3,Cut if needed.,,ESO 321- G 016,0.266,G,3180,,2.6,SB(rl)bc:,SB(s)cd pec?,,16.9998,0.0297561,5.76E-30,1.58E-31,10.925,0.067,2.84E-28,1.81E-29,1.168E-01,36%,1.17E-27,3.64E-28,6.075E-01,9%,6.08E-27,5.47E-28,,,,,,,,,49.20,147.91,37,41,183.854,-38.1413
Arp-Madore1213-430,3,NGC 4219 likely starburst. Single filter 606W WFPC2 but could get another filter..: https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/NGC_4219_hst_06359_G606.png/600px-NGC_4219_hst_06359_G606.png,,NGC 4219,0.360,G,1989,,4.3,SA(s)bc,SA(s)bc,,,,,,8.092,0.018,3.87E-27,6.46E-29,1.219E+00,7%,1.22E-26,4.30E-28,1.249E+01,7%,1.25E-25,8.74E-27,,,,,,,,,161.80,216.27,79,42,184.1079,-43.3129
Arp-Madore1214-255,3,,,VV 333,0.224,GPair,11822,,,Interacting pair,interacting double,,,,,,,,,,4.385E-01,14%,4.39E-27,1.91E-28,3.467E+00,10%,3.47E-26,3.47E-27,,,,,,,,,,,11,43,184.2416,-26.2111
Arp-Madore1223-385,3,,,AM 1223-385,0.248,GGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,44,186.54,-39.1252
Arp-Madore1229-512,4,"ESO 218- G 008 , Vr=2617; DO SEPARATE HST PROGRAM ON THIS????",,ESO 218- G 008,0.506,G,2617,,3.25,SB?,SB?,,,,,,12.841,0.161,4.87E-29,7.79E-30,,,,,,,,,,,,,,,,,16.40,,19,35,187.9748,-51.7477
Arp-Madore1238-254,3,,,ESO 506-IG 035,0.194,GPair,16941,,,Double system,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,53.70,6,45,190.2639,-25.9593
Arp-Madore1252-300,3,"Somewhat low latitude. Interesting dust feature on one, but merging ellipticals less dramatic...",,AM 1252-300,0.236,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46,193.9079,-30.349
Arp-Madore1254-321,4,,,ESO 443- G 015,0.263,G,4818,,4.8,(S0/a:)+(S0)+(cE0:),Sa,,,> 19.5710,,> 5.39E-31,,,,,,,,,,,,,,,,,,,,,,90.16,19,36,194.2916,-32.5152
Arp-Madore1255-430,4,,,ESO 269-IG 020,0.265,G,8984,,1.7,Pec,pec,,19.1288,0.201300,8.10E-31,1.50E-31,10.729,0.051,3.41E-28,1.64E-29,,,,,,,,,,,,,,,,,42.40,74.13,25,37,194.5339,-43.325
Arp-Madore1256-433,3,a bit small/distant. Could cut.,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,194.7443,-43.8381
Arp-Madore1259-322,4,Part of previous one.,,AM 1259-322,0.212,GGroup,9324,,,Compact Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,38,195.5583,-32.762
Arp-Madore1259-323,4,Adjust center,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,195.5249,-32.7854
Arp-Madore1303-371,3,"A bit distant, but kinda crazy...",ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,196.5334,-37.5841
Arp-Madore1307-235,3,"ESO 508- G 019, Vr=2925 km/s; in S4G. Has HI.  Could cut...",,ESO 508- G 019,0.354,G,2925,,1.7,SB(s)m,SB(s)m,,,,,,,,,,,< 1.762E-01,,< 1.76E-27,7.879E-01,9%,7.88E-27,7.09E-28,,,,,,,,,,91.20,54,49,197.469,-24.2411
Arp-Madore1307-425,3,,,ESO 269-IG 056,0.303,G,2143,,2.8,SB(s)m pec:,SB(s)m pec?,,16.7030,0.0376737,7.57E-30,2.62E-31,14.532,0.441,1.03E-29,5.14E-30,,,,,,,,,,,,,,,,,19.40,144.54,20,50,197.5007,-43.2111
Arp-Madore1307-461,3,low latitude so image may be confusing. Cut if needed.,,ESO 269- G 057,0.274,G,3106,,3.2,(R'_2)SAB(r)b,(R')SAB(r)ab,,16.5450,0.0693150,8.75E-30,5.59E-31,8.779,0.024,2.05E-27,4.59E-29,,,,,,,,,,,,,,,,,80.40,221.31,65,51,197.5183,-46.4361
Arp-Madore1315-350,3,,,NGC 5063,0.150,G,3222,,2.3,(R':)SA(r)a,(R')SA(rs)a,,,,,,9.336,0.054,1.23E-27,6.27E-29,,,,,,,,,,,,,,,,,66.00,113.50,21,52,199.6097,-35.3529
Arp-Madore1316-240,3,,,ESO 508- G 043,0.287,G,10145,,1.7:,Sb:            HII,Sb?,,,,,,10.184,0.130,5.63E-28,7.16E-29,,,,,,,,,,,,,,,,,89.20,80.35,14,53,199.7616,-24.4226
Arp-Madore1317-303,4,,,AM 1317-303,0.195,GPair,,,,INTERACTING,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,200.1134,-30.902
Arp-Madore1321-242,3,"UGCA 352, Vr=2042. Maybe cut -- too LSB?",,UGCA 352,0.187,G,2042,,1.6,IB(s)m,IB(s)m,,16.9630,0.0652500,5.95E-30,3.58E-31,,,,,,,,,,,,,,,,,,,,,,93.33,26,54,201.0189,-24.6605
Arp-Madore1324-294,3,,,UGCA 358,0.168,G,1898,,1.7,SB(s)dm:,SB(s)dm?,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11,37,55,201.7534,-30.0742
Arp-Madore1324-375,3,Cut if needed.,,ESO 324- G 023,0.212,G,1440,,3.8,SB(s)d: sp,SB(s)d? edge-on,,15.1911,0.0173151,3.04E-29,4.85E-31,11.620,0.076,1.50E-28,1.09E-29,1.189E-01,26%,1.19E-27,1.59E-28,5.729E-01,9%,5.73E-27,5.16E-28,,,,,,,,,93.80,239.88,46,56,201.8664,-38.1874
Arp-Madore1325-271,3,A bit distant. cut if needed.Could also be chance superposition.,,ESO 509- G 026,0.149,G,1836,,1.3,SAB(s)m,SAB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,57.54,33,57,202.0901,-27.567
Arp-Madore1325-292,4,,,AM 1325-292,0.156,GPair,4376,,,INTERACTING,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,41,201.9612,-29.6189
Arp-Madore1332-331,4,,,NGC 5215,0.154,GPair,,,,,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,42,203.7844,-33.4822
Arp-Madore1342-413,4,ESO 325- G?011  Vr=545,,ESO 325- G?011,0.241,G,545,,2.7,IB(s)m,IB(s)m,,,,,,,,,,,,,,,,,,,,,,,,,,,162.18,76,43,206.2491,-41.8572
Arp-Madore1349-273,4,"ESO 445- G 064 , Vr=4907. ",,ESO 445- G 064,0.198,G,4907,,1.4,(R_1R'_2)SB(l)0/a,(R)SB0/a(rs),,20.0999,0.327754,3.31E-31,1.00E-31,9.992,0.041,6.72E-28,2.59E-29,,,,,,,,,,,,,,,,,50.80,66.07,20,44,208.0881,-27.8915
Arp-Madore1351-263,3,Large but pretty smooth....,,AM 1351-263,0.186,GPair,,,,,interacting double,,,> 20.5190,,> 2.25E-31,,,,,,,,,,,,,,,,,,,,,,,2,58,208.5779,-26.8837
Arp-Madore1354-250,4,,,IC 4350,0.230,G,6200,,1.6,(R:)SAB(r)0/a  HII,(R')SA0^+(r) pec?,,,,,,9.285,0.025,1.29E-27,3.00E-29,,< 1.574E-01,,< 1.57E-27,3.565E-01,13%,3.56E-27,4.64E-28,,,,,,,,,81.00,112.20,36,45,209.3081,-25.247
Arp-Madore1356-332,3,a bit distant but should be pretty...,,ESO 384-IG 025,0.203,GPair,3729,,,(Sb:pec)+(Sa?pec),pair?,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,59,209.9444,-33.6805
