Arp,Score,Notes,Unnamed: 1,ObjectName,Galactic Extinction,Object,cz,z,Basic-Data,Basic-Data.1,Galaxy Morphology,Activity Type,Kronap.AB,Kronap.AB.1,Kronap.AB.2,Kronap.AB.3,K_s_total,K_s_total.1,K_s_total.2,K_s_total.3,25micron,25micron.1,25micron.2,25micron.3,60micron,60micron.1,60micron.2,60micron.3,1.4GHz,1.4GHz.1,1.4GHz.2,1.4GHz.3,1.4GHz.4,1.4GHz.5,1.4GHz.6,1.4GHz.7,20.0K-magarcsec^-2,25.0B-magarcsec^-2,Unnamed: 40,Row2,RA,Dec
Arp-Madore0122-381,4,,,AM 0122-381,0.056,GPair,,,,INTERACTING,interacting double,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,21.3037,-38.0684
Arp-Madore0133-393,3,Nice pair but not all that disturbed. Could cut.,,AM 0133-393,0.048,GPair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,148,23.8737,-39.3848
Arp-Madore0134-373,4,NGC633; NICMOS only,,NGC 0633,0.043,G,5188,,1.3,(R')SAB:(rs)b  HII,SB(r)b?,,,,,,10.039,0.036,6.43E-28,2.17E-29,,,,,,,,,34.5,1.4,3.45E-28,1.40E-29,,,,,48.20,71.61,69,9,24.1003,-37.3286
Arp-Madore0135-650,4,,,NGC 0646,0.073,GPair,8047,,,SAB(s)c pec:,SAB(s)c pec?,,,,,,,,,,3.664E-01,12%,3.66E-27,2.28E-28,2.818E+00,12%,2.82E-26,3.38E-27,,,,,,,,,,,21,10,24.3502,-64.8959
Arp-Madore0136-301,3,,,NGC 0642,0.045,G,5883,,2.0,SB(s)c,SB(s)c,,,,,,10.288,0.057,5.11E-28,2.76E-29,,< 2.428E-01,,< 2.43E-27,2.532E+00,7%,2.53E-26,1.77E-27,15.1,1.2,1.51E-28,1.20E-29,,,,,68.40,109.65,51,149,24.7781,-29.9149
Arp-Madore0136-433,4,,,AM 0136-433,0.052,GPair,,,,,S + S,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,24.7686,-43.3599
Arp-Madore0137-281,3,,ERROR: Input name not recognized by NED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,25.0033,-28.0337
Arp-Madore0138-261,4,,,ESO 476-IG 031,0.039,GPair,20296,,,Double system,pair,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,25.2704,-26.0243
Arp-Madore0144-585,4,"ESO 114- G 007 , Vr=2214 km/s",,ESO 114- G 007,0.064,G,2214,,1.8,SB(s)m,SB(s)m,,,,,,,,,,,< 6.313E-02,,< 6.31E-28,4.220E-01,10%,4.22E-27,4.22E-28,,,,,,,,,,92.26,36,13,26.6196,-58.6705
Arp-Madore0144-585,4,"ESO 114- G 007 , Vr=2214 km/s",WARNING: Same object as in entry 13 - Arp-Madore0144-585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,26.6196,-58.6705
Arp-Madore0144-585,3,"ESO 114- G 007 , Vr=2214 km/s",,ESO 114- G 007,0.064,G,2214,,1.8,SB(s)m,SB(s)m,,,,,,,,,,,< 6.313E-02,,< 6.31E-28,4.220E-01,10%,4.22E-27,4.22E-28,,,,,,,,,,92.26,36,13,26.6196,-58.6705
Arp-Madore0144-585,3,"ESO 114- G 007 , Vr=2214 km/s",WARNING: Same object as in entry 13 - Arp-Madore0144-585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,26.6196,-58.6705
Arp-Madore0147-271,3,,,ESO 477- G 008,0.055,G,9052,,1.3,Sc             HII,S?,,16.5668,0.0345611,8.58E-30,2.73E-31,10.401,0.041,4.61E-28,1.77E-29,2.240E-01,14%,2.24E-27,2.62E-28,1.931E+00,5%,1.93E-26,9.65E-28,28.7,1.7,2.87E-28,1.70E-29,,,,,45.20,79.43,25,152,27.3796,-27.0804
